,prev_file,filename,cell_type,xmin,xmax,ymin,ymax
2080,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00206.jpg,150.jpg,RBC,409,509,388,479
1851,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00135.jpg,132.jpg,RBC,95,222,195,316
2320,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00244.jpg,169.jpg,RBC,329,413,386,480
4882,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00318.jpg,363.jpg,RBC,66,162,139,216
3216,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00343.jpg,238.jpg,RBC,181,181,329,329
3049,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00374.jpg,223.jpg,WBC,185,403,282,480
1004,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00172.jpg,71.jpg,RBC,110,230,213,332
2141,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00228.jpg,155.jpg,RBC,103,204,170,276
4325,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00029.jpg,323.jpg,RBC,139,260,320,427
1865,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00123.jpg,133.jpg,WBC,268,472,195,378
2962,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00010.jpg,215.jpg,WBC,239,510,253,470
3610,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00382.jpg,267.jpg,RBC,142,248,367,472
2511,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00391.jpg,181.jpg,RBC,308,422,365,480
3418,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00033.jpg,253.jpg,RBC,348,463,369,480
3965,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00315.jpg,294.jpg,RBC,15,148,66,169
3622,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00382.jpg,267.jpg,Platelets,517,563,1,37
3635,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00161.jpg,268.jpg,RBC,1,59,88,181
2004,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00196.jpg,146.jpg,RBC,131,245,315,424
1696,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00142.jpg,121.jpg,Platelets,569,606,422,455
3623,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00161.jpg,268.jpg,RBC,148,234,160,247
4023,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00081.jpg,299.jpg,RBC,14,95,405,480
7,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00068.jpg,0.jpg,RBC,29,120,394,479
1936,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00165.jpg,140.jpg,RBC,388,478,157,262
1723,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00003.jpg,123.jpg,RBC,1,79,126,240
4805,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00103.jpg,358.jpg,RBC,143,240,189,290
3163,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00227.jpg,233.jpg,RBC,83,181,160,249
958,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00200.jpg,67.jpg,RBC,1,119,107,190
2552,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00248.jpg,184.jpg,RBC,259,383,79,198
2707,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00132.jpg,195.jpg,RBC,78,188,382,480
4004,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00292.jpg,298.jpg,RBC,209,318,46,142
2569,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00364.jpg,185.jpg,RBC,37,138,236,334
1277,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00039.jpg,90.jpg,RBC,487,574,391,480
688,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00178.jpg,50.jpg,RBC,519,640,189,315
791,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00367.jpg,56.jpg,RBC,1,85,96,205
3374,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00023.jpg,251.jpg,RBC,296,423,364,480
1089,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00005.jpg,76.jpg,RBC,63,174,19,97
973,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00071.jpg,68.jpg,RBC,83,207,128,253
708,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00317.jpg,51.jpg,RBC,216,321,385,480
697,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00178.jpg,50.jpg,RBC,122,237,319,413
1694,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00142.jpg,121.jpg,Platelets,1,27,113,149
267,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00004.jpg,21.jpg,Platelets,127,163,47,81
1034,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00140.jpg,73.jpg,RBC,48,153,216,315
2134,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00154.jpg,154.jpg,RBC,100,247,393,480
4235,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00327.jpg,316.jpg,Platelets,331,379,102,142
2867,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00038.jpg,207.jpg,RBC,439,532,191,285
4184,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00021.jpg,313.jpg,WBC,330,494,302,438
1247,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00353.jpg,89.jpg,RBC,34,152,48,156
3321,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00387.jpg,246.jpg,Platelets,62,115,177,224
355,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00091.jpg,27.jpg,RBC,347,456,28,126
4835,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00405.jpg,360.jpg,RBC,110,221,82,197
4134,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00111.jpg,308.jpg,RBC,278,391,358,456
2259,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00231.jpg,164.jpg,RBC,408,536,135,250
4461,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00077.jpg,332.jpg,Platelets,260,299,364,400
4511,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00049.jpg,336.jpg,Platelets,140,191,202,250
4130,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00111.jpg,308.jpg,RBC,365,478,40,138
770,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00089.jpg,55.jpg,RBC,204,319,1,103
2368,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00094.jpg,171.jpg,RBC,545,640,167,304
618,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00366.jpg,45.jpg,RBC,469,574,81,173
2175,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00260.jpg,158.jpg,WBC,205,434,267,480
3079,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00239.jpg,226.jpg,RBC,174,264,283,396
1646,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00036.jpg,117.jpg,RBC,260,355,370,480
4599,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00407.jpg,342.jpg,RBC,511,606,94,201
421,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00295.jpg,32.jpg,WBC,118,372,141,353
2393,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00037.jpg,174.jpg,WBC,421,541,302,420
310,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00000.jpg,24.jpg,RBC,171,264,175,275
1838,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00109.jpg,131.jpg,RBC,102,216,48,159
1108,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00355.jpg,78.jpg,RBC,555,640,19,123
3229,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00098.jpg,239.jpg,RBC,225,310,349,434
1420,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00346.jpg,100.jpg,RBC,138,238,45,159
2881,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00351.jpg,208.jpg,RBC,23,124,230,334
3039,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00270.jpg,222.jpg,RBC,161,287,283,383
3842,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00047.jpg,284.jpg,RBC,232,336,298,405
833,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00013.jpg,59.jpg,RBC,318,427,396,480
4702,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00339.jpg,350.jpg,RBC,65,181,190,319
4355,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00167.jpg,325.jpg,RBC,180,286,3,107
3585,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00156.jpg,265.jpg,Platelets,451,486,400,434
2343,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00214.jpg,170.jpg,RBC,487,600,408,480
442,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00226.jpg,34.jpg,RBC,209,319,1,83
3096,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00177.jpg,228.jpg,RBC,1,75,101,244
4408,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00246.jpg,329.jpg,RBC,176,291,2,113
4523,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00049.jpg,336.jpg,RBC,282,380,127,234
2323,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00244.jpg,169.jpg,RBC,78,176,266,362
1843,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00109.jpg,131.jpg,WBC,363,519,251,421
888,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00348.jpg,62.jpg,RBC,464,551,122,229
1440,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00352.jpg,102.jpg,RBC,234,287,202,336
133,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00056.jpg,10.jpg,RBC,420,521,18,129
400,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00053.jpg,31.jpg,RBC,433,541,1,115
1236,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00083.jpg,88.jpg,RBC,356,475,130,235
3854,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00203.jpg,285.jpg,RBC,506,610,222,333
3483,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00342.jpg,258.jpg,RBC,322,440,256,366
4401,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00212.jpg,328.jpg,RBC,562,640,71,188
2281,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00215.jpg,165.jpg,WBC,63,287,267,467
2208,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00030.jpg,161.jpg,RBC,324,429,402,480
1866,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00123.jpg,133.jpg,Platelets,142,175,53,80
4251,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00171.jpg,318.jpg,RBC,1,83,383,480
416,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00295.jpg,32.jpg,RBC,164,259,388,480
4515,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00049.jpg,336.jpg,RBC,368,495,315,430
4208,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00198.jpg,314.jpg,RBC,354,467,1,88
1863,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00123.jpg,133.jpg,RBC,314,401,1,85
4246,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00171.jpg,318.jpg,RBC,447,552,1,91
1252,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00353.jpg,89.jpg,RBC,121,205,144,229
169,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00388.jpg,14.jpg,RBC,352,483,269,395
2377,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00193.jpg,172.jpg,RBC,136,238,55,143
2556,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00248.jpg,184.jpg,RBC,102,218,47,151
28,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00252.jpg,2.jpg,RBC,564,640,395,480
652,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00289.jpg,47.jpg,WBC,251,482,55,288
1394,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00020.jpg,98.jpg,Platelets,80,115,128,161
4396,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00212.jpg,328.jpg,RBC,165,268,402,480
35,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00252.jpg,2.jpg,WBC,161,399,181,404
3550,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00032.jpg,262.jpg,RBC,350,454,182,282
1328,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00073.jpg,94.jpg,Platelets,263,293,194,223
2102,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00108.jpg,152.jpg,RBC,285,383,181,287
0,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00068.jpg,0.jpg,RBC,235,349,23,127
4675,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00283.jpg,347.jpg,RBC,10,103,126,234
1605,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00059.jpg,112.jpg,RBC,109,221,178,286
4359,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00167.jpg,325.jpg,RBC,468,582,266,349
2744,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00324.jpg,198.jpg,RBC,519,608,22,106
2430,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00291.jpg,175.jpg,RBC,336,436,102,214
2593,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00403.jpg,186.jpg,WBC,70,287,165,368
4132,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00111.jpg,308.jpg,RBC,468,570,71,175
67,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00299.jpg,5.jpg,RBC,33,140,79,187
3138,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00104.jpg,230.jpg,RBC,494,576,243,341
3488,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00145.jpg,259.jpg,RBC,498,621,114,236
4115,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00008.jpg,307.jpg,RBC,353,459,43,141
3772,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00365.jpg,280.jpg,RBC,200,303,336,433
808,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00042.jpg,57.jpg,RBC,411,505,346,442
3999,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00292.jpg,298.jpg,RBC,281,383,240,345
3412,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00033.jpg,253.jpg,RBC,468,577,303,405
2344,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00214.jpg,170.jpg,RBC,429,570,301,420
3313,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00387.jpg,246.jpg,RBC,508,605,149,249
1875,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00207.jpg,134.jpg,RBC,521,640,198,319
4109,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00008.jpg,307.jpg,RBC,398,519,222,330
556,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00046.jpg,42.jpg,RBC,61,174,313,417
4225,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00325.jpg,315.jpg,RBC,221,316,19,108
4541,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00072.jpg,338.jpg,RBC,116,214,223,317
3482,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00342.jpg,258.jpg,RBC,492,578,413,480
2951,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00320.jpg,214.jpg,RBC,163,264,317,399
1143,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00197.jpg,80.jpg,RBC,51,177,149,279
260,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00004.jpg,21.jpg,RBC,38,147,1,62
3505,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00216.jpg,260.jpg,RBC,115,210,166,275
1436,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00352.jpg,102.jpg,RBC,316,432,20,111
646,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00289.jpg,47.jpg,RBC,535,640,101,206
4558,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00074.jpg,339.jpg,Platelets,331,378,35,75
2155,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00390.jpg,156.jpg,RBC,534,640,357,480
196,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00176.jpg,16.jpg,RBC,152,256,274,360
116,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00372.jpg,9.jpg,RBC,144,272,353,451
691,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00178.jpg,50.jpg,RBC,327,429,250,343
4181,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00175.jpg,312.jpg,RBC,520,640,107,221
4270,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00282.jpg,320.jpg,RBC,277,381,377,477
4836,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00405.jpg,360.jpg,RBC,151,245,1,89
4545,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00074.jpg,339.jpg,RBC,299,416,180,283
74,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00159.jpg,6.jpg,RBC,239,331,6,103
4113,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00008.jpg,307.jpg,RBC,524,630,250,348
445,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00226.jpg,34.jpg,RBC,498,580,357,455
928,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00095.jpg,65.jpg,RBC,56,140,266,406
301,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00000.jpg,24.jpg,RBC,555,640,356,455
1686,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00323.jpg,120.jpg,RBC,339,475,170,278
1893,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00359.jpg,135.jpg,RBC,554,640,40,165
4341,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00218.jpg,324.jpg,RBC,166,284,236,336
3879,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00034.jpg,288.jpg,RBC,62,174,407,480
3060,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00082.jpg,225.jpg,RBC,93,212,64,157
2081,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00206.jpg,150.jpg,RBC,74,179,296,409
1642,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00036.jpg,117.jpg,RBC,166,278,130,233
3196,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00230.jpg,236.jpg,RBC,8,145,201,308
3111,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00347.jpg,229.jpg,RBC,456,563,173,284
2691,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00310.jpg,194.jpg,RBC,378,485,53,149
2713,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00255.jpg,196.jpg,RBC,183,312,413,480
3260,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00101.jpg,241.jpg,RBC,545,640,41,136
342,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00410.jpg,26.jpg,RBC,563,640,20,113
674,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00386.jpg,49.jpg,RBC,467,592,235,356
382,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00307.jpg,30.jpg,RBC,81,194,18,115
2681,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00371.jpg,193.jpg,RBC,384,499,264,354
4070,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00356.jpg,302.jpg,RBC,1,106,196,285
1779,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00100.jpg,127.jpg,RBC,7,103,1,82
838,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00013.jpg,59.jpg,RBC,184,299,12,118
1124,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00409.jpg,79.jpg,RBC,2,93,1,83
2873,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00038.jpg,207.jpg,RBC,385,478,30,124
2200,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00086.jpg,160.jpg,RBC,377,466,327,432
1263,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00039.jpg,90.jpg,RBC,195,296,346,447
3193,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00230.jpg,236.jpg,RBC,461,560,32,125
1524,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00312.jpg,107.jpg,Platelets,326,367,186,217
2499,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00007.jpg,180.jpg,RBC,247,337,315,424
1691,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00142.jpg,121.jpg,RBC,348,441,372,480
2461,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00015.jpg,177.jpg,Platelets,291,337,373,410
1885,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00359.jpg,135.jpg,RBC,221,330,352,458
3174,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00187.jpg,234.jpg,RBC,134,248,48,159
5,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00068.jpg,0.jpg,RBC,283,374,365,450
3778,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00365.jpg,280.jpg,RBC,304,410,251,357
1043,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00362.jpg,74.jpg,RBC,509,620,97,205
1915,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00050.jpg,137.jpg,RBC,321,424,39,146
2892,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00006.jpg,209.jpg,Platelets,89,131,184,221
3784,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00365.jpg,280.jpg,Platelets,513,559,405,446
947,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00254.jpg,66.jpg,RBC,1,104,325,425
1536,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00396.jpg,108.jpg,RBC,213,326,321,419
4479,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00279.jpg,334.jpg,RBC,214,302,281,365
3776,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00365.jpg,280.jpg,RBC,238,358,24,113
4243,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00171.jpg,318.jpg,RBC,171,296,205,314
2979,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00137.jpg,216.jpg,RBC,146,273,333,459
4713,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00339.jpg,350.jpg,WBC,185,447,127,338
1919,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00050.jpg,137.jpg,WBC,172,304,1,117
220,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00288.jpg,19.jpg,RBC,67,163,359,452
4697,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00240.jpg,349.jpg,WBC,371,613,1,192
2752,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00400.jpg,199.jpg,RBC,124,222,286,390
4106,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00195.jpg,306.jpg,Platelets,134,167,194,227
2216,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00030.jpg,161.jpg,RBC,297,428,1,81
4414,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00246.jpg,329.jpg,RBC,559,640,212,358
2493,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00007.jpg,180.jpg,RBC,17,134,298,402
660,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00040.jpg,48.jpg,RBC,526,640,95,189
3489,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00145.jpg,259.jpg,RBC,197,309,92,193
1079,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00005.jpg,76.jpg,RBC,162,290,1,70
343,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00410.jpg,26.jpg,RBC,304,400,262,387
743,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00168.jpg,53.jpg,RBC,1,97,134,227
1921,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00147.jpg,138.jpg,WBC,339,514,42,207
1526,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00312.jpg,107.jpg,Platelets,370,406,212,247
3529,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00392.jpg,261.jpg,WBC,128,410,67,296
389,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00307.jpg,30.jpg,RBC,559,640,136,245
4299,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00035.jpg,321.jpg,Platelets,171,207,413,458
4354,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00167.jpg,325.jpg,RBC,60,159,1,85
1469,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00189.jpg,104.jpg,RBC,447,522,410,480
2468,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00107.jpg,178.jpg,RBC,106,189,208,296
264,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00004.jpg,21.jpg,RBC,1,81,283,372
1982,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00065.jpg,144.jpg,RBC,166,266,180,287
4131,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00111.jpg,308.jpg,RBC,512,630,75,188
3944,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00184.jpg,292.jpg,RBC,1,89,263,361
2498,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00007.jpg,180.jpg,RBC,213,303,305,414
2302,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00076.jpg,167.jpg,RBC,102,199,1,78
3639,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00349.jpg,269.jpg,RBC,470,577,1,88
4803,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00103.jpg,358.jpg,RBC,253,352,240,326
1086,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00005.jpg,76.jpg,Platelets,124,161,305,340
444,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00226.jpg,34.jpg,RBC,355,458,1,70
4607,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00001.jpg,343.jpg,RBC,449,536,400,480
2802,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00257.jpg,203.jpg,RBC,174,281,1,77
3029,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00160.jpg,221.jpg,RBC,263,385,78,181
2759,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00400.jpg,199.jpg,RBC,374,482,1,100
713,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00317.jpg,51.jpg,Platelets,112,153,207,252
2546,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00221.jpg,183.jpg,RBC,136,238,1,71
1109,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00355.jpg,78.jpg,RBC,280,383,68,159
1302,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00243.jpg,92.jpg,RBC,307,438,407,479
4440,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00223.jpg,331.jpg,RBC,9,130,89,194
856,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00045.jpg,61.jpg,RBC,223,319,273,376
4814,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00103.jpg,358.jpg,RBC,479,577,415,480
676,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00386.jpg,49.jpg,RBC,443,541,32,140
2599,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00211.jpg,187.jpg,RBC,84,185,42,144
3223,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00343.jpg,238.jpg,Platelets,70,118,206,255
1805,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00275.jpg,128.jpg,RBC,1,83,24,135
